Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020


	=SUBTOTAL(109,B6:B9936)															
27	1	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP	 	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	16.7	412	46674	KERATIN, TYPE I MICROFIBRILLAR 48 KD, COMPONENT 8C-1 (LOW-SULFUR KERATIN) [Ovis aries].	41	0	0.000	41	0	0.000
28	1	CONT_123|gi|125091|sp|P25690|K1M2_SHEEP	 	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	16.6	404	46062	KERATIN, TYPE I MICROFIBRILLAR, 47.6 KD (LOW-SULFUR KERATIN) [Ovis aries].	12	2	0.167	12	2	8.900
35	1	CONT_156|gi|1363944|pir||JC4313 (+1)	CONT_156|gi|1363944|pir||JC4313&sp|P08779|K1C16_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN	contaminant	49.0	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	207	19	0.092	207	19	33.841
38	1	CONT_167|gi|1668744|gnl|PID|e195475 (+1)	CONT_167|gi|1668744|gnl|PID|e195475&sp|Q92764|KRT35_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN	contaminant	8.7	425	47570	(X90763) HHa5 hair keratin type I intermediate filament [Homo sapiens].	60	3	0.050	60	3	3.697
39	1	REV_A2PYH4	 	 	 	reversed	1.9	1435	162608	REVERSED.	2	2	1.000	2	2	2.000
40	1	REV_A2RRP1	 	 	 	reversed	0.8	2371	268568	REVERSED.	2	2	1.000	2	2	2.000
41	1	REV_A4FU69	 	 	 	reversed	1.3	1503	173402	REVERSED.	3	3	1.000	3	3	3.000
42	1	REV_A6H8Y1	 	 	 	reversed	0.6	2624	293882	REVERSED.	2	2	1.000	2	2	2.000
43	1	REV_A6QL64	 	 	 	reversed	3.5	1915	214498	REVERSED.	2	2	1.000	2	2	2.000
44	1	REV_A7E2Y1	 	 	REV_A7E2Y1, sp|P35241|RADI_HUMAN, sp|Q13402|MYO7A_HUMAN	reversed	1.1	1983	225842	REVERSED.	2	1	0.500	2	1	1.011
45	1	REV_B1AJZ9	 	 	 	reversed	1.0	1412	161902	REVERSED.	2	2	1.000	2	2	2.000
46	1	REV_B2RTY4	 	 	 	reversed	0.7	2548	292702	REVERSED.	2	2	1.000	2	2	2.000
47	1	REV_O00763	 	 	 	reversed	1.5	2458	276538	REVERSED.	2	2	1.000	2	2	2.000
48	1	REV_O14686	 	 	REV_O14686, sp|P28066|PSA5_HUMAN	reversed	0.5	5537	593383	REVERSED.	7	1	0.143	7	1	1.074
49	1	REV_O15034	 	 	 	reversed	4.6	1052	116024	REVERSED.	2	2	1.000	2	2	2.000
50	1	REV_O15078	 	 	REV_O15078, sp|P38646|GRP75_HUMAN, sp|Q9BZE4|NOG1_HUMAN	reversed	1.7	2479	290382	REVERSED.	9	2	0.222	9	2	2.057
51	1	REV_O15079	 	 	 	reversed	3.6	494	53536	REVERSED.	2	2	1.000	2	2	2.000
52	1	REV_O43272	 	 	 	reversed	3.0	600	68001	REVERSED.	2	2	1.000	2	2	2.000
53	1	REV_O43520	 	 	 	reversed	1.8	1251	143694	REVERSED.	3	3	1.000	3	3	3.000
54	1	REV_O60333	 	 	 	reversed	1.1	1816	204474	REVERSED.	4	4	1.000	4	4	4.000
55	1	REV_O60391	 	 	 	reversed	3.7	1043	112991	REVERSED.	2	2	1.000	2	2	2.000
56	1	REV_O60841	 	 	 	reversed	1.7	1220	138825	REVERSED.	10	10	1.000	10	10	10.000
57	1	REV_O75064	 	 	 	reversed	1.6	1496	163845	REVERSED.	2	2	1.000	2	2	2.000
58	1	REV_O75351	 	 	 	reversed	8.6	444	49301	REVERSED.	2	2	1.000	2	2	2.000
59	1	REV_O75369	 	 	REV_O75369, REV_Q14315	reversed	1.6	2602	278161	REVERSED.	2	1	0.500	2	1	1.500
60	1	REV_O75717	 	 	 	reversed	3.8	1129	125966	REVERSED.	31	31	1.000	31	31	31.000
61	1	REV_O94868	 	 	 	reversed	3.4	740	84275	REVERSED.	2	2	1.000	2	2	2.000
62	1	REV_O94964	 	 	 	reversed	1.2	1423	159758	REVERSED.	2	2	1.000	2	2	2.000
63	1	REV_O95025	 	 	 	reversed	4.2	777	89650	REVERSED.	3	3	1.000	3	3	3.000
64	1	REV_O95602	 	 	 	reversed	1.6	1720	194809	REVERSED.	7	7	1.000	7	7	7.000
65	1	REV_O95613	 	 	 	reversed	0.5	3336	378033	REVERSED.	3	3	1.000	3	3	3.000
66	1	REV_P00550	 	 	 	reversed	3.1	637	67971	REVERSED.	2	2	1.000	2	2	2.000
67	1	REV_P04114	 	 	 	reversed	1.2	4563	515598	REVERSED.	4	4	1.000	4	4	4.000
68	1	REV_P04993	 	 	 	reversed	2.6	608	66902	REVERSED.	8	3	0.375	8	3	3.051
69	1	REV_P05793	 	 	REV_P05793, sp|P05793|ILVC_ECOLI	reversed	3.3	491	54068	REVERSED.	5	2	0.400	5	2	2.014
70	1	REV_P08202	 	 	 	reversed	8.2	500	56073	REVERSED.	2	2	1.000	2	2	2.000
71	1	REV_P09914	 	 	 	reversed	5.6	478	55360	REVERSED.	3	3	1.000	3	3	3.000
72	1	REV_P0A6Z1	 	 	 	reversed	3.2	616	65652	REVERSED.	3	3	1.000	3	3	3.000
73	1	REV_P0A8L1	 	 	 	reversed	6.0	430	48413	REVERSED.	2	2	1.000	2	2	2.000
74	1	REV_P0A8T7	 	 	 	reversed	1.5	1407	155158	REVERSED.	2	2	1.000	2	2	2.000
75	1	REV_P0A8Y5	 	 	 	reversed	6.7	270	29721	REVERSED.	2	2	1.000	2	2	2.000
76	1	REV_P0AA16	 	 	 	reversed	10.9	239	27353	REVERSED.	2	2	1.000	2	2	2.000
77	1	REV_P10809	 	 	 	reversed	3.7	573	61054	REVERSED.	2	2	1.000	2	2	2.000
78	1	REV_P11388	 	 	 	reversed	1.4	1531	174383	REVERSED.	2	2	1.000	2	2	2.000
79	1	REV_P12081	 	 	REV_P12081, sp|O00443|P3C2A_HUMAN, sp|Q96EV2|RBM33_HUMAN, sp|Q96ST2|IWS1_HUMAN	reversed	5.3	509	57410	REVERSED.	4	1	0.250	4	1	1.052
80	1	REV_P12107	 	 	 	reversed	1.4	1806	181063	REVERSED.	3	3	1.000	3	3	3.000
81	1	REV_P12111	 	 	 	reversed	0.6	3177	343665	REVERSED.	4	4	1.000	4	4	4.000
82	1	REV_P12259	 	 	 	reversed	1.3	2224	251700	REVERSED.	2	2	1.000	2	2	2.000
83	1	REV_P12270	 	 	 	reversed	1.4	2363	267290	REVERSED.	4	4	1.000	4	4	4.000
84	1	REV_P14735	 	 	 	reversed	1.7	1019	117967	REVERSED.	5	5	1.000	5	5	5.000
85	1	REV_P15038	 	 	 	reversed	3.1	684	77975	REVERSED.	3	3	1.000	3	3	3.000
86	1	REV_P16591	 	 	REV_P16591, sp|Q15833|STXB2_HUMAN	reversed	1.8	822	94637	REVERSED.	2	1	0.500	2	1	1.021
87	1	REV_P23845	 	 	 	reversed	4.0	475	52558	REVERSED.	3	3	1.000	3	3	3.000
88	1	REV_P28715	 	 	 	reversed	2.2	1186	133107	REVERSED.	2	2	1.000	2	2	2.000
89	1	REV_P30838	 	 	 	reversed	6.4	453	50394	REVERSED.	2	2	1.000	2	2	2.000
90	1	REV_P31828	 	 	 	reversed	2.6	931	104655	REVERSED.	2	2	1.000	2	2	2.000
91	1	REV_P33937	 	 	 	reversed	3.1	828	93041	REVERSED.	2	2	1.000	2	2	2.000
92	1	REV_P35125	 	 	 	reversed	1.8	1406	158656	REVERSED.	2	2	1.000	2	2	2.000
93	1	REV_P35221	 	 	 	reversed	3.1	906	100070	REVERSED.	2	2	1.000	2	2	2.000
94	1	REV_P35612	 	 	 	reversed	3.3	726	80853	REVERSED.	3	3	1.000	3	3	3.000
95	1	REV_P39285	 	 	 	reversed	6.0	1107	123966	REVERSED.	3	3	1.000	3	3	3.000
96	1	REV_P40222	 	 	 	reversed	3.3	546	61890	REVERSED.	2	2	1.000	2	2	2.000
97	1	REV_P40925	 	 	 	reversed	5.1	334	36426	REVERSED.	2	2	1.000	2	2	2.000
98	1	REV_P43487	 	 	REV_P43487, sp|Q13442|HAP28_HUMAN	reversed	4.0	201	23310	REVERSED.	4	1	0.250	4	1	1.158
99	1	REV_P46939	 	 	 	reversed	1.0	3433	394462	REVERSED.	5	5	1.000	5	5	5.000
100	1	REV_P49454	 	 	 	reversed	2.0	3114	357523	REVERSED.	6	6	1.000	6	6	6.000
101	1	REV_P50993	 	 	REV_P50993, sp|Q96IZ0|PAWR_HUMAN, sp|Q9ULJ8|NEB1_HUMAN	reversed	2.7	1020	112264	REVERSED.	4	1	0.250	4	1	1.231
102	1	REV_P51587	 	 	REV_P51587, sp|Q96T51|RUFY1_HUMAN	reversed	0.4	3418	384198	REVERSED.	3	1	0.333	3	1	1.053
103	1	REV_P54868	 	 	 	reversed	8.5	508	56635	REVERSED.	3	3	1.000	3	3	3.000
104	1	REV_P55089	 	 	 	reversed	16.9	124	13458	REVERSED.	2	2	1.000	2	2	2.000
105	1	REV_P55196	 	 	 	reversed	1.4	1824	206802	REVERSED.	2	2	1.000	2	2	2.000
106	1	REV_P59510	 	 	 	reversed	2.0	1910	214719	REVERSED.	2	2	1.000	2	2	2.000
107	1	REV_P60240	 	 	REV_P60240, sp|P0AFF0|NUON_ECOLI	reversed	2.2	968	109768	REVERSED.	3	1	0.333	3	1	2.000
108	1	REV_P69849 (+2)	REV_P69849&REV_Q15155&REV_Q5JPE7	 	 	reversed	1.4	1222	134132	REVERSED.	2	2	1.000	2	2	2.000
109	1	REV_P76092	 	 	 	reversed	3.1	585	65455	REVERSED.	3	3	1.000	3	3	3.000
110	1	REV_P76398	 	 	 	reversed	1.6	1040	112076	REVERSED.	3	3	1.000	3	3	3.000
111	1	REV_P77427	 	 	 	reversed	8.9	235	27022	REVERSED.	2	2	1.000	2	2	2.000
112	1	REV_P78332	 	 	 	reversed	2.0	1123	128642	REVERSED.	4	4	1.000	4	4	4.000
113	1	REV_P98088	 	 	 	reversed	1.0	5654	585564	REVERSED.	2	2	1.000	2	2	2.000
114	1	REV_Q01780	 	 	 	reversed	3.2	885	100830	REVERSED.	2	2	1.000	2	2	2.000
115	1	REV_Q02156	 	 	REV_Q02156, sp|Q96F86|EDC3_HUMAN	reversed	2.2	737	83673	REVERSED.	3	1	0.333	3	1	1.133
116	1	REV_Q03001	 	 	 	reversed	0.8	7570	860652	REVERSED.	4	4	1.000	4	4	4.000
117	1	REV_Q13045	 	 	 	reversed	1.6	1269	144749	REVERSED.	2	2	1.000	2	2	2.000
118	1	REV_Q13085	 	 	REV_Q13085, sp|O75665|OFD1_HUMAN, sp|Q9NRA8|4ET_HUMAN	reversed	0.6	2346	265551	REVERSED.	2	0	0.000	2	0	0.000
119	1	REV_Q13951	 	 	REV_Q13951, sp|P36879|YADG_ECOLI	reversed	11.0	182	21508	REVERSED.	3	1	0.333	3	1	1.077
120	1	REV_Q14315	 	 	REV_O75369, REV_Q14315	reversed	1.2	2725	291019	REVERSED.	2	1	0.500	2	1	1.500
121	1	REV_Q14674	 	 	 	reversed	0.7	2120	233173	REVERSED.	2	2	1.000	2	2	2.000
122	1	REV_Q14683	 	 	 	reversed	2.4	1233	143231	REVERSED.	2	2	1.000	2	2	2.000
123	1	REV_Q14789	 	 	REV_Q14789, sp|A6NE01|F186A_HUMAN, sp|Q8N556|AFAP1_HUMAN, sp|Q9P0K7|RAI14_HUMAN	reversed	0.8	3259	376015	REVERSED.	3	1	0.333	3	1	1.400
124	1	REV_Q149N8	 	 	 	reversed	1.0	1683	193077	REVERSED.	2	2	1.000	2	2	2.000
125	1	REV_Q15022	 	 	 	reversed	3.0	739	83054	REVERSED.	2	2	1.000	2	2	2.000
126	1	REV_Q15149	 	 	 	reversed	0.8	4684	531784	REVERSED.	3	3	1.000	3	3	3.000
127	1	REV_Q15911	 	 	 	reversed	0.5	3703	404414	REVERSED.	3	3	1.000	3	3	3.000
128	1	REV_Q3L8U1	 	 	REV_Q3L8U1, REV_Q9P2D1, sp|Q8TB36|GDAP1_HUMAN	reversed	0.8	2897	326018	REVERSED.	3	1	0.333	3	1	1.321
129	1	REV_Q46899	 	 	 	reversed	4.4	363	40025	REVERSED.	18	18	1.000	18	18	18.000
130	1	REV_Q4G0P3	 	 	 	reversed	0.4	5121	575885	REVERSED.	2	2	1.000	2	2	2.000
131	1	REV_Q4U2R8	 	 	 	reversed	5.0	563	61816	REVERSED.	2	2	1.000	2	2	2.000
132	1	REV_Q53SF7	 	 	 	reversed	1.5	1128	123866	REVERSED.	2	2	1.000	2	2	2.000
133	1	REV_Q5D862	 	 	 	reversed	0.7	2391	248070	REVERSED.	3	3	1.000	3	3	3.000
134	1	REV_Q5M9N0	 	 	REV_Q5M9N0, sp|Q8WVM7|STAG1_HUMAN	reversed	2.7	1113	127139	REVERSED.	5	1	0.200	5	1	1.154
135	1	REV_Q5T4T6	 	 	 	reversed	3.3	812	93598	REVERSED.	2	2	1.000	2	2	2.000
136	1	REV_Q5T5P2	 	 	REV_Q5T5P2, sp|P0A9M0|LON_ECOLI	reversed	1.1	1943	214113	REVERSED.	3	1	0.333	3	1	1.014
137	1	REV_Q5T7N2	 	 	 	reversed	3.0	865	98848	REVERSED.	2	2	1.000	2	2	2.000
138	1	REV_Q5T9S5	 	 	 	reversed	2.0	1454	168961	REVERSED.	3	3	1.000	3	3	3.000
139	1	REV_Q5VW36	 	 	 	reversed	2.9	1801	200070	REVERSED.	8	8	1.000	8	8	8.000
140	1	REV_Q68CP9	 	 	 	reversed	1.7	1835	197389	REVERSED.	4	4	1.000	4	4	4.000
141	1	REV_Q6DN14	 	 	 	reversed	3.7	999	111623	REVERSED.	2	2	1.000	2	2	2.000
142	1	REV_Q6F5E8	 	 	 	reversed	0.6	1435	154687	REVERSED.	3	3	1.000	3	3	3.000
143	1	REV_Q6P2D8	 	 	 	reversed	2.9	792	89863	REVERSED.	2	2	1.000	2	2	2.000
144	1	REV_Q6Q4G3	 	 	 	reversed	2.7	990	113281	REVERSED.	2	2	1.000	2	2	2.000
145	1	REV_Q6UXG2	 	 	 	reversed	1.4	1013	111380	REVERSED.	3	3	1.000	3	3	3.000
146	1	REV_Q6W2J9	 	 	 	reversed	1.4	1755	192186	REVERSED.	2	2	1.000	2	2	2.000
147	1	REV_Q6WRI0	 	 	 	reversed	1.4	2623	290835	REVERSED.	3	3	1.000	3	3	3.000
148	1	REV_Q6ZTR5	 	 	 	reversed	1.8	3187	361621	REVERSED.	5	5	1.000	5	5	5.000
149	1	REV_Q6ZVF9	 	 	 	reversed	2.4	776	82438	REVERSED.	4	4	1.000	4	4	4.000
150	1	REV_Q709C8	 	 	REV_Q709C8, sp|Q9Y383|LC7L2_HUMAN	reversed	0.4	3753	422385	REVERSED.	5	1	0.200	5	1	1.069
151	1	REV_Q7L014	 	 	 	reversed	3.4	1031	117361	REVERSED.	2	2	1.000	2	2	2.000
152	1	REV_Q7Z3J3	 	 	 	reversed	1.2	1758	197286	REVERSED.	2	2	1.000	2	2	2.000
153	1	REV_Q7Z4S6	 	 	 	reversed	1.5	1674	187177	REVERSED.	2	2	1.000	2	2	2.000
154	1	REV_Q7Z4W1	 	 	 	reversed	13.1	244	25913	REVERSED.	3	3	1.000	3	3	3.000
155	1	REV_Q86Y56	 	 	 	reversed	3.0	855	93520	REVERSED.	3	3	1.000	3	3	3.000
156	1	REV_Q8IVF2	 	 	REV_Q8IVF2, sp|Q9NRL2|BAZ1A_HUMAN	reversed	2.7	5795	616622	REVERSED.	4	2	0.500	4	2	2.085
157	1	REV_Q8IWA4	 	 	 	reversed	5.4	741	84159	REVERSED.	2	2	1.000	2	2	2.000
158	1	REV_Q8IWI9	 	 	REV_Q8IWI9, sp|Q96JB2|COG3_HUMAN	reversed	0.5	3065	336156	REVERSED.	3	2	0.667	3	2	2.044
159	1	REV_Q8IWJ2	 	 	 	reversed	1.0	1684	195907	REVERSED.	2	2	1.000	2	2	2.000
160	1	REV_Q8IYM0	 	 	 	reversed	2.0	893	103720	REVERSED.	3	3	1.000	3	3	3.000
161	1	REV_Q8IZD9	 	 	 	reversed	1.6	2030	233101	REVERSED.	2	2	1.000	2	2	2.000
162	1	REV_Q8IZF0	 	 	 	reversed	2.2	1738	200329	REVERSED.	3	3	1.000	3	3	3.000
163	1	REV_Q8N4C6	 	 	 	reversed	1.2	2090	243246	REVERSED.	2	2	1.000	2	2	2.000
164	1	REV_Q8N998	 	 	REV_Q8N998, sp|P22523|MUKB_ECOLI	reversed	3.7	374	43808	REVERSED.	3	1	0.333	3	1	1.021
165	1	REV_Q8NCM8	 	 	 	reversed	0.5	4307	492616	REVERSED.	7	7	1.000	7	7	7.000
166	1	REV_Q8NCX0	 	 	 	reversed	1.6	1101	128759	REVERSED.	2	2	1.000	2	2	2.000
167	1	REV_Q8NE18	 	 	 	reversed	3.5	718	81039	REVERSED.	2	2	1.000	2	2	2.000
168	1	REV_Q8NF91	 	 	REV_Q8NF91, sp|Q99417|MYCBP_HUMAN	reversed	0.5	8797	1011074	REVERSED.	6	5	0.833	6	5	5.185
169	1	REV_Q8NFJ9	 	 	REV_Q8NFJ9, sp|P00568|KAD1_HUMAN, sp|P0A6D0|ARGR_ECOLI	reversed	2.4	593	65083	REVERSED.	9	0	0.000	9	0	0.000
170	1	REV_Q8TBZ0	 	 	 	reversed	2.2	833	96724	REVERSED.	2	2	1.000	2	2	2.000
171	1	REV_Q8TCF1	 	 	REV_Q8TCF1, sp|Q9NQW7|XPP1_HUMAN	reversed	7.1	268	30787	REVERSED.	2	1	0.500	2	1	1.015
172	1	REV_Q8TDX9	 	 	 	reversed	0.6	2849	315431	REVERSED.	3	3	1.000	3	3	3.000
173	1	REV_Q8TF21	 	 	REV_Q8TF21, sp|P30622|CLIP1_HUMAN	reversed	2.6	1146	124185	REVERSED.	2	1	0.500	2	1	1.012
174	1	REV_Q8WX94	 	 	REV_Q8WX94, sp|Q02880|TOP2B_HUMAN	reversed	3.9	980	111806	REVERSED.	5	2	0.400	5	2	2.028
175	1	REV_Q8WXH0	 	 	REV_Q8WXH0, sp|Q92878|RAD50_HUMAN	reversed	0.5	6885	796433	REVERSED.	9	4	0.444	9	4	4.177
176	1	REV_Q8WXK1	 	 	REV_Q8WXK1, sp|P0A812|RUVB_ECOLI	reversed	5.8	588	65798	REVERSED.	3	1	0.333	3	1	1.095
177	1	REV_Q8WZ42	 	 	 	reversed	0.2	34350	3815984	REVERSED.	6	6	1.000	6	6	6.000
178	1	REV_Q92614	 	 	 	reversed	0.9	2054	233112	REVERSED.	3	3	1.000	3	3	3.000
179	1	REV_Q92698	 	 	 	reversed	2.5	747	84351	REVERSED.	2	2	1.000	2	2	2.000
180	1	REV_Q96DT5	 	 	 	reversed	0.6	4516	520363	REVERSED.	2	2	1.000	2	2	2.000
181	1	REV_Q96G28	 	 	REV_Q96G28, sp|P28903|NRDD_ECOLI	reversed	4.1	342	39446	REVERSED.	2	1	0.500	2	1	1.071
