New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
15	1	CONT_060|gi|542923|pir||S37780 (+2)	CONT_060|gi|542923|pir||S37780&CONT_095|gi|547750|sp|P35900|K1CT_HUMAN&sp|P35900|K1C20_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q8N1A0|KT222_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	4.5	424	48571	keratin 20, cytoskeletal [Homo sapiens].	27	0	0.000	27	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	1	CONT_068|gi|1082558|pir||S41161 (+2)	CONT_068|gi|1082558|pir||S41161&CONT_105|gi|547748|sp|P35527|K1CI_HUMAN&sp|P35527|K1C9_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02533|K1C14_HUMAN	contaminant	60.5	623	62129	keratin 9, cytoskeletal [Homo sapiens].	186	101	0.543	186	101	112.106	100	75039504.39306498	40901689.888672985	31730426.11792599	44394561.770022996	44624662.370120995	36357210.302002996	30397903.442992996	35157003.382814005	38697368.67676299	24891789.921754006	693102.38745
23	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q04695|K1C17_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN	contaminant	34.0	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	232	6	0.026	232	6	12.500	6	899844.550782	863174.050782	755038.4414059999	769656.6835940001	1062905.949219	619100.582031	1399418.839843	637524.6347670001	555156.2304690001	1290312.4296880001	2287.731689
27	1	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP	 	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	16.7	412	46674	KERATIN, TYPE I MICROFIBRILLAR 48 KD, COMPONENT 8C-1 (LOW-SULFUR KERATIN) [Ovis aries].	41	0	0.000	41	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	1	CONT_123|gi|125091|sp|P25690|K1M2_SHEEP	 	 	CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, sp|P13646|K1C13_HUMAN, sp|Q6A162|K1C40_HUMAN, sp|Q9C075|K1C23_HUMAN	contaminant	16.6	404	46062	KERATIN, TYPE I MICROFIBRILLAR, 47.6 KD (LOW-SULFUR KERATIN) [Ovis aries].	12	2	0.167	12	2	8.900	2	58266.64062400001	48494.68164	279435.894531	56023.037109000004	65800.316406	69237.957031	50520.554688	37797.282227	49719.734375	43438.669922	1601.35376
35	1	CONT_156|gi|1363944|pir||JC4313 (+1)	CONT_156|gi|1363944|pir||JC4313&sp|P08779|K1C16_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_050|gi|280816|pir||A37343, CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_157|gi|1245902|bbs|175065, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q8N1A0|KT222_HUMAN	contaminant	49.0	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	207	19	0.092	207	19	33.841	19	1689525.174317	2114941.3593760002	1847589.6313490001	1704946.1982439999	1805897.3481449997	1358336.3745109998	4317659.273927	1591565.6181649999	1674317.3393559998	2658847.3916019998	65068.31250099999
38	1	CONT_167|gi|1668744|gnl|PID|e195475 (+1)	CONT_167|gi|1668744|gnl|PID|e195475&sp|Q92764|KRT35_HUMAN	 	CONT_047|gi|88042|pir||S14666, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, sp|O76014|KRT37_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13646|K1C13_HUMAN	contaminant	8.7	425	47570	(X90763) HHa5 hair keratin type I intermediate filament [Homo sapiens].	60	3	0.050	60	3	3.697	3	838036.3554690001	759193.164062	871223.054688	894615.9375	817320.507812	1065412.2890619999	803504.515625	914642.421875	911070.21875	1052766.1640619999	55722.017089999994
39	1	REV_A2PYH4	 	 	 	reversed	1.9	1435	162608	REVERSED.	2	2	1.000	2	2	2.000	2	219417.298828	176721.691406	233321.59375	206187.191406	230998.53125	201995.980469	204554.332031	155545.15234400003	213805.394531	178705.59375	8138.807617
40	1	REV_A2RRP1	 	 	 	reversed	0.8	2371	268568	REVERSED.	2	2	1.000	2	2	2.000	2	141308.628907	125154.107422	131604.949219	147452.132813	168871.632813	156301.136719	142987.40625	98620.30078100001	144176.53125	129400.460938	500.0
41	1	REV_A4FU69	 	 	 	reversed	1.3	1503	173402	REVERSED.	3	3	1.000	3	3	3.000	3	28120.956421	25812.719971	26052.696045	55863.109619	46493.151367	55891.312744	44318.629394999996	81030.774903	94684.148925	83851.321167	2725.002686
42	1	REV_A6H8Y1	 	 	 	reversed	0.6	2624	293882	REVERSED.	2	2	1.000	2	2	2.000	2	2605334.3125	1664641.3671880001	2148069.46875	2883368.40625	2517518.5	2663268.328125	2273296.140625	1943959.546875	2211518.25	2345690.382813	5677.55957
43	1	REV_A6QL64	 	 	 	reversed	3.5	1915	214498	REVERSED.	2	2	1.000	2	2	2.000	2	629077.9375	558692.882812	545836.039062	662379.664063	549899.9375	514902.523438	531777.53125	419779.351562	569398.140625	418316.601562	500.0
44	1	REV_A7E2Y1	 	 	REV_A7E2Y1, sp|P35241|RADI_HUMAN, sp|Q13402|MYO7A_HUMAN	reversed	1.1	1983	225842	REVERSED.	2	1	0.500	2	1	1.011	1	259036.796875	217074.5625	265992.9375	243486.828125	229698.40625	284022.40625	240034.40625	183998.203125	185711.9375	182236.3125	12796.195312
45	1	REV_B1AJZ9	 	 	 	reversed	1.0	1412	161902	REVERSED.	2	2	1.000	2	2	2.000	2	542156.515625	583264.015625	458336.640625	511482.75	626439.640625	582551.125	1383421.0625	484480.640625	421168.46875	482220.59375	500.0
46	1	REV_B2RTY4	 	 	 	reversed	0.7	2548	292702	REVERSED.	2	2	1.000	2	2	2.000	2	477578.015625	384316.15625	490304.46875	482338.96875	532619.96875	508819.984375	447865.609375	396813.109375	418344.625	452856.71875	19614.263672
47	1	REV_O00763	 	 	 	reversed	1.5	2458	276538	REVERSED.	2	2	1.000	2	2	2.000	2	192135.480469	171850.957031	184898.294922	181505.651855	173232.746094	207144.95752	161946.325195	141646.006348	151754.870117	160962.749023	7499.486328
48	1	REV_O14686	 	 	REV_O14686, sp|P28066|PSA5_HUMAN	reversed	0.5	5537	593383	REVERSED.	7	1	0.143	7	1	1.074	1	8061.481445	6452.106934	5734.865723	7483.570312000001	6032.515136999999	8031.644531	5371.194336	6334.284668	5235.888184	5175.125488000001	500.0
49	1	REV_O15034	 	 	 	reversed	4.6	1052	116024	REVERSED.	2	2	1.000	2	2	2.000	2	305433.40625	389173.90625	401267.125	427797.125	521919.3125	449590.46875	404978.9375	370982.34375	392282.90625	387485.71875	500.0
50	1	REV_O15078	 	 	REV_O15078, sp|P38646|GRP75_HUMAN, sp|Q9BZE4|NOG1_HUMAN	reversed	1.7	2479	290382	REVERSED.	9	2	0.222	9	2	2.057	2	248890.234375	208592.054688	247620.765625	257859.804688	273994.09375	249622.875	249972.5	189283.179688	260106.460938	220216.570313	9027.536621
51	1	REV_O15079	 	 	 	reversed	3.6	494	53536	REVERSED.	2	2	1.000	2	2	2.000	2	199134.687988	174099.373047	208913.587402	231875.11816399998	217907.573242	238523.655273	207080.992187	165171.878906	175898.097656	162238.729492	500.0
52	1	REV_O43272	 	 	 	reversed	3.0	600	68001	REVERSED.	2	2	1.000	2	2	2.000	2	62339.42578099999	153996.4375	86184.359375	146989.984375	137354.21875	114738.0625	112219.44531300002	86582.648438	87079.710938	70800.84375	2651.285645
53	1	REV_O43520	 	 	 	reversed	1.8	1251	143694	REVERSED.	3	3	1.000	3	3	3.000	3	1266918.359375	1060625.296875	1163308.3984380001	1147295.8515619999	1047746.929688	1372558.7734380001	1091648.484375	948020.21875	901048.992188	846838.085938	25770.846191999997
54	1	REV_O60333	 	 	 	reversed	1.1	1816	204474	REVERSED.	4	4	1.000	4	4	4.000	4	346269.85742200003	318419.10742200003	327955.402343	327798.060547	329426.218751	393592.117189	331222.73242300004	315694.683595	318305.342774	301286.91504	500.0
55	1	REV_O60391	 	 	 	reversed	3.7	1043	112991	REVERSED.	2	2	1.000	2	2	2.000	2	96175.445313	108267.371094	114174.191406	141120.421875	151157.789062	137415.601563	129501.257813	136700.894531	130295.03125	134232.851562	8346.855957
56	1	REV_O60841	 	 	 	reversed	1.7	1220	138825	REVERSED.	10	10	1.000	10	10	10.000	10	13870421.359375	11561066.132813	12756833.976563	13098318.375000998	13023510.242187	14721598.265625	12428384.601563	9028914.242189	10186188.515625	9342622.3125	293151.962892
57	1	REV_O75064	 	 	 	reversed	1.6	1496	163845	REVERSED.	2	2	1.000	2	2	2.000	2	288366.37304700003	317115.015625	256263.660156	253250.003906	337985.042969	308994.375	294748.050781	286774.632813	303175.21875	265697.703125	12240.639648
58	1	REV_O75351	 	 	 	reversed	8.6	444	49301	REVERSED.	2	2	1.000	2	2	2.000	2	499690.988281	469878.27929700003	466144.542969	526809.8945309999	583258.222656	642606.8789059999	514648.796875	408606.744141	468216.347656	479429.859375	16658.042846999997
59	1	REV_O75369	 	 	REV_O75369, REV_Q14315	reversed	1.6	2602	278161	REVERSED.	2	1	0.500	2	1	1.500	1	14678.330078	13905.506836000002	13702.130859	16731.636719	14397.75293	16629.660156	14067.704102000002	12023.451172	12090.568359	11927.478516	500.0
60	1	REV_O75717	 	 	 	reversed	3.8	1129	125966	REVERSED.	31	31	1.000	31	31	31.000	31	6494431.732911	6467668.918457999	6223783.090332001	6607254.187503	7308154.210936	8101310.671875	6153631.964354999	6117168.193360001	6684927.981446	5605500.316406001	13720.102295
61	1	REV_O94868	 	 	 	reversed	3.4	740	84275	REVERSED.	2	2	1.000	2	2	2.000	2	251911.609375	288160.039063	315508.390625	475119.375	469795.828125	481612.796875	429120.414063	639526.289063	654072.023438	697175.773438	40934.891600999996
62	1	REV_O94964	 	 	 	reversed	1.2	1423	159758	REVERSED.	2	2	1.000	2	2	2.000	2	167874.892578	138293.34179700003	176773.958984	250821.933594	236150.988281	275955.253906	220132.90332	350560.519531	408064.928711	362030.794922	500.0
63	1	REV_O95025	 	 	 	reversed	4.2	777	89650	REVERSED.	3	3	1.000	3	3	3.000	3	609157.373047	509454.572266	658801.279297	563546.525391	497247.152344	642024.1132809999	579801.251953	450609.759766	401004.818359	377036.82226600003	9472.001953
64	1	REV_O95602	 	 	 	reversed	1.6	1720	194809	REVERSED.	7	7	1.000	7	7	7.000	7	6211674.589844	6095304.546874	6081857.361328	6343654.183593	7175156.40625	7058792.496094	6529069.755859001	4523015.839843	4156304.808594	4120548.5429680003	42161.104738
65	1	REV_O95613	 	 	 	reversed	0.5	3336	378033	REVERSED.	3	3	1.000	3	3	3.000	3	720232.898438	650441.734375	688327.929688	939017.273437	863384.984375	914197.867187	703988.9375	751316.796876	786793.898437	658901.0	8094.899414
66	1	REV_P00550	 	 	 	reversed	3.1	637	67971	REVERSED.	2	2	1.000	2	2	2.000	2	73283.9375	86035.421875	117487.320312	164389.972657	158810.992187	207444.792969	140972.226563	273643.949219	261837.402344	293937.253906	35071.233886999995
67	1	REV_P04114	 	 	 	reversed	1.2	4563	515598	REVERSED.	4	4	1.000	4	4	4.000	4	132086.726563	108631.958009	136411.474121	161101.331055	169939.38964900002	182861.001953	127865.978517	160690.676759	101675.04248100001	137117.875489	2072.296875
68	1	REV_P04993	 	 	 	reversed	2.6	608	66902	REVERSED.	8	3	0.375	8	3	3.051	8	1654926.7263190001	1541919.8811040001	1664961.058839	1920385.171874	1974112.287108	1846021.665771	1437264.003418	1423635.970215	1482567.1965329999	1435938.036133	1019.6392210000001
69	1	REV_P05793	 	 	REV_P05793, sp|P05793|ILVC_ECOLI	reversed	3.3	491	54068	REVERSED.	5	2	0.400	5	2	2.014	2	126523.50537200001	178954.748535	220751.41748	211053.566406	275751.625977	238009.12207	248734.424316	215162.797852	266485.817383	188052.44043	8664.013672
70	1	REV_P08202	 	 	 	reversed	8.2	500	56073	REVERSED.	2	2	1.000	2	2	2.000	2	61967.318359	66208.744141	74297.548828	106022.919921	104322.75	99452.138672	89854.591797	81846.794922	87002.47070300001	74915.00586	5494.54541
71	1	REV_P09914	 	 	 	reversed	5.6	478	55360	REVERSED.	3	3	1.000	3	3	3.000	3	183116.41308600002	272214.946289	296061.023437	332261.783204	283465.46288999997	304072.949219	298802.09570299997	270906.726563	298648.148438	254450.984375	7912.552978
72	1	REV_P0A6Z1	 	 	 	reversed	3.2	616	65652	REVERSED.	3	3	1.000	3	3	3.000	3	238402.46875	219278.195312	256310.078124	339581.265625	307880.242187	351804.148437	282302.804687	386169.363281	445720.734375	442458.84375	14920.15918
73	1	REV_P0A8L1	 	 	 	reversed	6.0	430	48413	REVERSED.	2	2	1.000	2	2	2.000	2	136107.4375	160447.17187500003	164508.277344	265972.71875	220983.480469	194330.027344	210479.78125	226171.296875	218115.171875	215905.648438	10019.607666
74	1	REV_P0A8T7	 	 	 	reversed	1.5	1407	155158	REVERSED.	2	2	1.000	2	2	2.000	2	469182.160156	467901.183594	606569.171875	855312.8710940001	728197.757812	1056500.917969	746865.5507809999	910326.542969	1083150.695312	1161258.587891	94446.078125
75	1	REV_P0A8Y5	 	 	 	reversed	6.7	270	29721	REVERSED.	2	2	1.000	2	2	2.000	2	228133.953125	224886.777344	202168.703125	208990.636719	247526.261719	260463.058594	227587.691406	199570.195312	194504.625	217582.832031	500.0
76	1	REV_P0AA16	 	 	 	reversed	10.9	239	27353	REVERSED.	2	2	1.000	2	2	2.000	2	300376.414062	252803.015625	297146.414063	427162.296875	433809.242188	350308.085937	374507.375	808209.265625	547063.015625	740434.671875	17765.222656
77	1	REV_P10809	 	 	 	reversed	3.7	573	61054	REVERSED.	2	2	1.000	2	2	2.000	2	24535.607422	20407.544922	20766.940429000002	23212.706054000002	24030.298828	27857.534179000002	20039.6875	19886.500976	22308.291015000003	21196.169922	500.0
78	1	REV_P11388	 	 	 	reversed	1.4	1531	174383	REVERSED.	2	2	1.000	2	2	2.000	2	153999.75	163301.28125	142171.044922	153044.392578	184876.59375	155054.173828	135136.972657	105346.962891	127435.6875	117631.474609	3669.483154
79	1	REV_P12081	 	 	REV_P12081, sp|O00443|P3C2A_HUMAN, sp|Q96EV2|RBM33_HUMAN, sp|Q96ST2|IWS1_HUMAN	reversed	5.3	509	57410	REVERSED.	4	1	0.250	4	1	1.052	1	19674.607422	16317.708008000001	16121.193359	21504.142578	20182.832031	20499.476562	19099.238281	15431.214844	18867.722656	16231.1875	500.0
80	1	REV_P12107	 	 	 	reversed	1.4	1806	181063	REVERSED.	3	3	1.000	3	3	3.000	3	6364713.881836	5551305.635742	6518400.993164	9132198.085938	8225019.412109	9142119.908203	7677220.017578	12352267.21875	13588063.84375	13608097.898438	235067.365356
81	1	REV_P12111	 	 	 	reversed	0.6	3177	343665	REVERSED.	4	4	1.000	4	4	4.000	4	1847188.1328130001	1738823.609375	2406021.695313	3347008.28125	2863228.46875	3346917.8125	2546026.609375	4564903.828125	4766883.3125	4457015.265625	190391.85791
82	1	REV_P12259	 	 	 	reversed	1.3	2224	251700	REVERSED.	2	2	1.000	2	2	2.000	2	256405.610352	270591.679687	247566.584961	335884.882812	292666.244629	317308.451172	265846.686035	265147.040527	283868.285645	279914.22168	23536.689453
83	1	REV_P12270	 	 	 	reversed	1.4	2363	267290	REVERSED.	4	4	1.000	4	4	4.000	4	1250153.3320320002	1057022.955078	1168531.953125	1211334.0820320002	1211748.175781	1539845.6171880001	1313937.7617179998	1206595.4628899998	982204.197265	1124192.625001	39085.684571
84	1	REV_P14735	 	 	 	reversed	1.7	1019	117967	REVERSED.	5	5	1.000	5	5	5.000	5	54901.418945	44938.012206	34952.175782	42557.756836	61075.504883	56424.30957	37208.503906	54801.33496	61563.810547	66373.313477	500.0
85	1	REV_P15038	 	 	 	reversed	3.1	684	77975	REVERSED.	3	3	1.000	3	3	3.000	3	220870.324219	195295.56933600002	225581.345703	361408.224609	304772.142578	386227.837891	316629.858398	569349.760742	633172.801758	599528.44043	15401.790038999998
86	1	REV_P16591	 	 	REV_P16591, sp|Q15833|STXB2_HUMAN	reversed	1.8	822	94637	REVERSED.	2	1	0.500	2	1	1.021	1	298972.0625	298271.8125	412578.8125	357229.46875	432123.8125	441289.125	391036.96875	324905.71875	363118.125	282652.75	27544.154297000005
87	1	REV_P23845	 	 	 	reversed	4.0	475	52558	REVERSED.	3	3	1.000	3	3	3.000	3	374855.476563	341011.164551	506696.69873	366360.692871	506537.811523	401805.354004	437443.879638	300687.730957	380235.13916	365528.644043	19216.005859
88	1	REV_P28715	 	 	 	reversed	2.2	1186	133107	REVERSED.	2	2	1.000	2	2	2.000	2	185969.703125	201173.039062	203313.707031	212442.0625	196809.027344	212022.472656	178108.582031	152304.353516	164093.519532	154482.43554700003	7419.709839
89	1	REV_P30838	 	 	 	reversed	6.4	453	50394	REVERSED.	2	2	1.000	2	2	2.000	2	370991.06054700003	367142.099609	294634.896484	317236.974609	340542.835938	303010.847656	287782.888672	257830.966797	290945.121094	252428.994141	500.0
90	1	REV_P31828	 	 	 	reversed	2.6	931	104655	REVERSED.	2	2	1.000	2	2	2.000	2	27030.549804000002	24310.158203	25551.657227000003	33512.861328	31334.162110000005	40459.640625	25206.662109999997	39732.857421	31135.060547	40034.076172	500.0
91	1	REV_P33937	 	 	 	reversed	3.1	828	93041	REVERSED.	2	2	1.000	2	2	2.000	2	134423.283203	116910.63086	131221.810547	120019.158204	144609.816407	148857.923828	136630.712891	133152.244141	137428.925781	139923.056641	7654.198608000001
